data	indice_mes 	indice_acumulado_ano	indice_acumulado_12_meses	num_indice_acumulado_jan_1993
Jan/2022	0,54	0,5400	10,3794	1.585,7291
Fev/2022	1,01	1,5555	10,5436	1.601,7450
Mar/2022	1,62	3,2007	11,2993	1.627,6932
Abr/2022	1,06	4,2946	12,1315	1.644,9468
Mai/2022	0,47	4,7848	11,7311	1.652,6780
Jun/2022	0,67	5,4868	11,8867	1.663,7510
Jul/2022	-0,68	4,7695	10,0692	1.652,4375
Ago/2022	-0,36	4,3923	8,7271	1.646,4887
Set/2022	-0,29	4,0896	7,1686	1.641,7139
Out/2022	0,59	4,7037	6,4700	1.651,4000
Nov/2022	0,41	5,1330	5,9005	1.658,1707
Dez/2022	0,62	5,7848	5,7848	1.668,4514
